id,Tên,Đặc Điểm,Thời kỳ,Công dụng / Ý nghĩa
36,Móc thắt lưng đồng,"Móc thắt lưng bằng đồng, chạm khắc họa tiết chữ và hoa văn.
Thể hiện thẩm mỹ cá nhân và phân biệt địa vị xã hội.
Xuất hiện trong trang phục quan lại và tầng lớp khá giả.",Thời Lý – Trần,"Đồ trang trí cá nhân, biểu tượng địa vị và phong cách thời trang."
37,Tượng sư tử đá,"Sư tử đá chạm khắc, đặt trước cổng đình, chùa để trấn giữ.
Phong cách điêu khắc chịu ảnh hưởng Phật giáo và tín ngưỡng dân gian.
Thường có biểu cảm uy nghi, vị trí bảo vệ.",Thời Lý – Trần,Trang trí kiến trúc tôn nghiêm; vai trò trấn yểm và biểu tượng bảo hộ.
38,Nồi gốm dân dụng,"Nồi gốm dày, dấu vết nung và sử dụng, thường thấy trong bếp gia đình.
Cho thấy mẫu mã phục vụ nhu cầu nấu ăn truyền thống.
Khảo cổ học dùng để tái tạo đời sống hàng ngày.",Thời Lý – Trần,Dụng cụ nấu nướng gia đình; là nguồn tư liệu về chế độ ăn uống và sinh hoạt.
39,Đồng tiền Thái Bình Hưng Bảo,"Đồng tiền đúc tròn có chữ Hán, là tiền kim khí quốc gia sớm.
Phát hành theo lệnh triều đình, dùng làm đơn vị trao đổi chính.
Là dấu hiệu chủ quyền tiền tệ độc lập.",Thời Đinh – Tiền Lê – Lý,Phương tiện giao dịch và lưu giữ giá trị; biểu hiện chủ quyền và tổ chức tài chính.
40,Ấn vua Lê sơ,"Ấn triện bằng đồng lớn, khắc ký hiệu hoàng gia và chữ Hán.
Thể hiện quyền hành trung ương và qui ước phong kiến.
Được dùng trong các sắc lệnh và văn bản quan trọng.",Thời Lê – Trịnh (1428 – 1802),"Dùng để đóng mộc văn thư, xác nhận sắc lệnh và quyền hành chính."
41,Đồng tiền Lệ Thần,"Tiền đồng nhỏ, kích thước tiêu chuẩn, có ký hiệu triều đại.
Lưu thông trong thương mại nội địa và giao dịch thuế vụ.
Phản ánh hệ thống tiền tệ và kinh tế thị trường giai đoạn phong kiến.",Thời Lê,Phương tiện trao đổi và quản lý tài chính; minh chứng chính sách tiền tệ.
42,"Áo giáp, mũ sắt thời Trịnh","Bộ áo giáp bằng kim loại/da gia cố, mũ sắt hình dạng đặc trưng.
Cho thấy trang bị binh lính phong kiến được cải tiến.
Tìm thấy trong kinh thành và lăng mộ quân lính.",Thời Lê – Trịnh,Bảo hộ binh sĩ trong chiến đấu; thể hiện tổ chức và kỹ thuật quân sự.
43,Chuông đồng chùa cổ,"Chuông đồng có minh văn, hoa văn trang trí truyền thống.
Dùng trong nghi lễ Phật giáo và sinh hoạt tôn giáo địa phương.
Thường gắn với sự phát triển của chùa chiền và học thuật.",Thời Lê – Trịnh,"Dùng trong lễ, tụng kinh và thông báo thời gian sinh hoạt tôn giáo."
44,Gốm men rạn chuyển tiếp,"Gốm men rạn với vết khắc và họa tiết mảnh, men có vết nứt tạo lớp rạn.
Mang tính nghệ thuật độc đáo, thường dùng trong gia đình khá giả.
Thể hiện kỹ thuật và thẩm mỹ truyền thống.",Thời Lê – Trịnh,"Dùng trong sinh hoạt, trang trí và nghi lễ; phản ánh tay nghề làng nghề."
45,Bình phong khắc chạm,"Bình phong gỗ chạm khắc tinh xảo, họa tiết rồng, hoa, chữ Nho.
Dùng trong cung đình và nhà quan; bảo quản văn hóa trang trí gỗ.
Thể hiện nghệ thuật mộc và tư tưởng Nho giáo.",Thời Lê – Trịnh,Vật trang trí nội thất cung đình và đình làng; biểu thị vị thế xã hội.
46,Bộ ấn quan văn phòng,"Ấn bộ máy quan lại, mỗi ấn ghi chức danh và quyền hạn.
Chế tác cẩn thận bằng đồng, gỗ hoặc ngọc.
Dùng rộng rãi trong hệ thống hành chính phong kiến.",Thời Lê,"Dùng đóng xác nhận văn thư, quản lý và phân cấp hành chính."
47,Sách Hán Nôm khắc gỗ,"Sách in bằng chữ Hán Nôm, bản khắc gỗ với mực than và giấy dó.
Lưu trữ tư liệu văn học, lịch sử và giáo dục.
Thể hiện hệ thống học thuật và truyền bá tri thức.",Thời Lê – Trịnh,"Tài liệu học thuật, tôn giáo và văn chương; nguồn nghiên cứu lịch sử văn hóa."
48,Bản đồ thủ công thời Lê,"Bản đồ vẽ tay mô tả vùng đất, sông ngòi và đơn vị hành chính.
Dùng cho quản lý ruộng đất và tổ chức quân sự địa phương.
Đôi khi kèm chú thích chữ Hán.",Thời Lê,"Công cụ quản lý đất đai, phân chia hành chính và lập kế hoạch quân sự."
49,Áo bào quan lại,"Trang phục long bào của quan lại, thêu hoa văn tinh xảo và màu sắc quy định.
Phân biệt cấp bậc bằng họa tiết rồng, mây và màu vải.
Thường xuất hiện trong lễ nghi triều đình.",Thời Lê,"Trang phục lễ nghi, biểu tượng quyền lực và thứ bậc trong bộ máy phong kiến."
50,Kiềng bếp gang,"Kiềng đun nấu bằng gang, bền bỉ, phục vụ sinh hoạt gia đình.
Gặp trong làng quê và nhà quan chức, dùng lâu dài.
Phản ánh kỹ thuật đúc gang trong đời sống.",Thời Lê – Trịnh,Dụng cụ sinh hoạt hàng ngày; minh chứng đời sống vật chất và kỹ thuật chế tạo.
51,Cân đĩa thương mại,"Cân đĩa bằng kim loại, gồm quả cân tiêu chuẩn và đĩa cân.
Dùng trong chợ, thuế và thương mại vùng miền.
Minh chứng hệ thống đo lường và giao thương.",Thời Lê,Công cụ đo lường trong thương mại; bảo đảm tính công bằng giao dịch.
52,Đèn dầu gốm men,"Đèn bằng gốm men, họa tiết trang trí dân gian hoặc cung đình.
Sử dụng dầu thực vật làm nhiên liệu chiếu sáng.
Có giá trị thẩm mỹ và thực dụng.",Thời Lê – Trịnh,Dụng cụ chiếu sáng trong gia đình và nơi thờ tự; phản ánh đời sống sinh hoạt.
53,Bình gốm hoa văn dân gian,"Gốm trang trí hoa văn làng nghề, mẫu mã phổ biến, ít phức tạp.
Sản phẩm phục vụ nhu cầu gia đình và lễ hội địa phương.
Thường do nghệ nhân làng nghề sản xuất.",Thời Lê – Trịnh,Đồ gia dụng và trang trí; duy trì nghề truyền thống và văn hóa địa phương.
54,Đao kiếm trang trí,"Đao kiếm có vỏ bọc và tay cầm chạm khắc, thường trang trí tinh xảo.
Vừa là vũ khí vừa mang giá trị thẩm mỹ và nghi lễ.
Thường thuộc sở hữu quan lại hoặc tướng lĩnh.",Thời Lê – Trịnh,"Sử dụng trong quân sự, nghi lễ và làm vật kỷ niệm danh dự."
55,Ấn tín địa phương,"Ấn bằng gỗ/đồng dùng cho quan huyện, khắc chữ tên đơn vị.
Thể hiện sự phân cấp và quyền hành địa phương.
Dùng trong quản lý hồ sơ và sắc lệnh.",Thời Lê,"Chứng thực văn bản địa phương; công cụ hành chính ở cấp huyện, xã."
56,Ấn Hoàng đế chi bảo,"Ấn triện lớn của hoàng đế, làm bằng vàng/đồng mạ, khắc chữ Nho.
Là biểu tượng tối cao của quyền lực hoàng gia Triều Nguyễn.
Được dùng trong các sắc dụ và văn bản mang tính pháp lý cao.",Triều Nguyễn (1802 – 1945),Dùng để đóng mộc các sắc chỉ quan trọng; biểu tượng quyền lực và pháp lý của triều đình.
57,Áo long bào triều phục,"Long bào may bằng lụa thêu rồng mây, màu vàng dành cho vua.
Thể hiện nghi thức triều đình và quy định về trang phục.
Được lưu giữ trong cung và dùng trong lễ lớn.",Triều Nguyễn,Trang phục lễ nghi của vua quan; biểu tượng văn hóa và lễ nghi truyền thống.
58,Đồ sứ ký kiểu,"Gốm sứ sản xuất theo mẫu phương Tây nhưng trang trí hoa văn Việt hóa.
Sản phẩm của nhà máy gốm triều đình và các xưởng công nghệ mới.
Thể hiện giao lưu kỹ thuật và thị hiếu thời kỳ cận đại.",Triều Nguyễn,"Dùng trong cung đình, làm quà tặng ngoại giao và tiêu dùng thượng lưu."
59,Đồng hồ tây du nhập,"Đồng hồ cơ nhập khẩu hoặc sao chép theo kiểu Tây, cơ chế có bánh răng.
Là vật dụng quý hiếm, biểu thị địa vị và tiếp nhận công nghệ phương Tây.
Gặp trong tư gia quan lại và thương nhân.",Cuối thế kỷ XIX – đầu XX,Dụng cụ đo thời gian và biểu tượng hiện đại hóa; dùng trong quản lý thời gian.
60,"Tem, bưu phẩm đầu tiên","Tem bưu chính in sớm, có dấu bưu cục và tem ký hiệu.
Phản ánh sự xuất hiện hệ thống bưu chính hiện đại ở Việt Nam.
Giữ vai trò liên lạc và hành chính.",Cuối thế kỷ XIX – đầu XX,"Phương tiện liên lạc, thư tín và hành chính; minh chứng giao tiếp hiện đại."
61,Bản in chữ Quốc ngữ đầu tiên,"Sách in chữ Quốc ngữ theo khuôn in sơ khai, giấy dó hoặc giấy sản xuất mới.
Đóng góp lớn cho việc truyền bá chữ viết mới và giáo dục.
Thay đổi phương thức truyền đạt tri thức trong dân chúng.",Cuối thế kỷ XIX – đầu XX,Công cụ giáo dục và truyền bá văn hóa; mở rộng dân trí và giao tiếp văn bản.
62,Bức tranh thủy mặc,"Tranh vẽ thủy mặc, đề tài phong cảnh, nhân vật với kỹ thuật bút mực tinh tế.
Thể hiện nét thẩm mỹ của giới trí thức và nghệ nhân triều Nguyễn.
Được trưng bày trong gia đình thượng lưu và đình chùa.",Triều Nguyễn,"Tác phẩm nghệ thuật, giáo dục thẩm mỹ và tài liệu nghiên cứu văn hóa nghệ thuật."
63,Đồng tiền Thành Thái,"Tiền giấy/đồng lưu hành thời vua Thành Thái, có ký hiệu và họa tiết đặc trưng.
Phản ánh tình hình kinh tế, lạm phát hoặc khó khăn tài chính triều đại.
Cung cấp tư liệu nghiên cứu kinh tế lịch sử.",Cuối thế kỷ XIX – đầu XX,Phương tiện thanh toán và lưu thông; dấu hiệu chính sách tiền tệ thời cận đại.
64,Bộ ấm chén men lam,"Bộ ấm chén men lam, họa tiết vẽ tay, men bóng và tinh xảo.
Sản phẩm dùng trong cung đình và gia đình khá giả.
Ảnh hưởng giao thương với Trung Quốc và phương Tây.",Triều Nguyễn,"Dùng trong trà đạo, tiếp khách và nghi lễ, là vật trang trí và quà tặng."
65,"Vật dụng ngoại nhập (kính lúp, la bàn)","Các công cụ kỹ thuật phương Tây như kính lúp, la bàn, đôi khi là ống nhòm.
Dấu hiệu tiếp nhận tri thức và công cụ khoa học mới.
Được sử dụng trong khám phá, hàng hải và kỹ thuật.",Cuối thế kỷ XIX,Dụng cụ khoa học và hàng hải; biểu thị quá trình hiện đại hóa và tiếp nhận kỹ thuật.
66,Sắc phong và chiếu chỉ,"Văn bản khắc chữ Hán có niêm phong, ghi phong tước, đất đai và quyền lợi.
Thể hiện quan hệ triều đình với làng xã và gia tộc.
Lưu giữ nhiều thông tin về địa chính và phong tục.",Triều Nguyễn,"Công cụ phân bổ tước phong, xác nhận địa vị và quyền sử dụng đất."
67,Đầu súng cổ,"Phần nòng súng và cơ cấu cháy của súng cổ, bằng kim loại, có vết sửa chữa.
Thể hiện sự xuất hiện vũ khí đạn bột trong vùng.
Gắn với xung đột nội bộ và ngoại xâm cuối thế kỷ XIX.",Triều Nguyễn – Cận đại,Vũ khí chiến đấu; minh chứng chuyển đổi công nghệ quân sự.
68,Hộp thuốc lá khắc họa,"Hộp đựng thuốc lá chạm khắc hoa văn hoặc ký hiệu thương hiệu.
Phản ánh thói quen tiêu dùng và ảnh hưởng văn hóa ngoại lai.
Thường là vật lưu niệm cá nhân.",Đầu thế kỷ XX,"Vật dụng cá nhân, dấu hiệu lối sống và giao lưu văn hóa."
69,Máy quay phim sơ khai,"Máy quay cơ học dùng phim, kích thước lớn, cơ cấu có bánh răng.
Ghi lại sự kiện, đời sống và hoạt động thời cận đại.
Thường thuộc sở hữu cá nhân giàu có hoặc cơ quan truyền thông.",Đầu thế kỷ XX,Ghi hình tư liệu lịch sử; minh chứng phát triển truyền thông và báo chí.
70,Áo dài nền tảng,"Phiên bản sơ khai của áo dài với đường cắt và họa tiết truyền thống.
Biểu tượng giao thoa giữa trang phục truyền thống và hiện đại.
Phát triển dần thành trang phục quốc gia thời sau.",Giai đoạn cận đại,"Trang phục biểu tượng văn hóa; dùng trong lễ nghi, đời sống và thể hiện bản sắc."
71,Sổ đỏ thời Pháp thuộc,"Giấy tờ ghi nhận quyền sử dụng đất theo hệ thống pháp lý thuộc địa.
Thể hiện sự thay đổi trong quản lý đất đai và quan hệ sở hữu.
Quan trọng cho nghiên cứu lịch sử đất đai và dân cư.",Thời thuộc địa (Pháp),Tài liệu hành chính về sở hữu đất đai; nguồn tư liệu cho nghiên cứu pháp lý và xã hội.
72,Giấy tờ hộ tịch đầu,"Sổ hộ tịch, giấy khai sinh/hộ khẩu theo chế độ hành chính mới.
Ph反映 quản lý dân cư và xác minh nhân thân dưới ảnh hưởng phương Tây.
Đóng vai trò quan trọng trong quan hệ công dân và hành chính.",Cuối thế kỷ XIX – đầu XX,Công cụ quản lý dân cư và quyền công dân; minh chứng thay đổi hành chính.
73,Tem kháng chiến đầu,"Tem bưu chính và tem tuyên truyền thời kháng chiến, in nhanh, nội dung kêu gọi.
Dùng để duy trì liên lạc và tuyên truyền trong hoàn cảnh khó khăn.
Sưu tầm tem có giá trị lịch sử.",Giai đoạn cận – hiện đại,Công cụ liên lạc và tuyên truyền; biểu tượng tinh thần kháng chiến.
74,Chiếc vali của người di cư,"Vali vải hoặc da, dấu vết di chuyển dài, chứa tài sản cá nhân.
Liên quan tới các đợt di cư lớn trong lịch sử hiện đại Việt Nam.
Gợi nhớ câu chuyện cá nhân và cộng đồng.",Giai đoạn chuyển đổi (20th c.),"Biểu tượng di cư, lưu trữ hồ sơ di cư và kỷ vật cá nhân."
75,"Bức thư, báo chí thời cận đại","Báo chí in sớm, thư tay của nhân vật lịch sử, có dấu bưu cục.
Nguồn tư liệu về tư tưởng, phong trào và đời sống chính trị xã hội.
Góp phần khôi phục bối cảnh lịch sử.",Cuối thế kỷ XIX – đầu XX,"Tài liệu nghiên cứu lịch sử, truyền thông và tư liệu chính trị xã hội."
76,Mũ cối bộ đội,"Mũ sắt thiết kế đơn giản, phủ vải, trọng lượng nhẹ và dễ sản xuất hàng loạt.
Trở thành biểu tượng quân đội trong thời kháng chiến và sau này.
Được dùng rộng rãi trong trang bị binh lính.",Hiện đại (1945 – nay),"Bảo hộ đầu cho chiến sĩ, biểu tượng lịch sử và văn hóa quân đội."
77,Súng trường SKS (mẫu trưng bày),"Súng trường đạn rời, cơ chế bán tự động, làm bằng kim loại và gỗ.
Là loại phổ biến trong kháng chiến, dễ sửa chữa và bền bỉ.
Thường xuất hiện trong bảo tàng quân sự.",Hiện đại,"Vũ khí chiến đấu, minh chứng trang bị quân sự và chiến thuật thời kháng chiến."
78,Radio kháng chiến,"Máy thu phát radio di động, vỏ kim loại, núm vặn điều chỉnh tần số.
Dùng để phát thanh tin tức, chỉ thị và tuyên truyền trong chiến khu.
Là phương tiện liên lạc quan trọng trong thời chiến.",1945–1975,"Phát thanh, truyền tin và tuyên truyền; góp phần duy trì tinh thần đồng đội."
